kingdom	phylum	family	genus	specificepithet	country	stateprovince	county
plantae	spermatophyta	asteraceae	Coreopsis	mutica	Mexico	Chiapas	Amatenango Del Valle Municipio
plantae	rhodophyta	rhodomelaceae	Lophosiphonia	obscura	United States	California	San Diego County
animalia	mollusca	unionidae	Quadrula	pustulosa	United States	Michigan	Kent County
plantae	chlorophyta	cladophoraceae	Chaetomorpha	linum	France	Normandie	Manche
plantae	bryophyta	sphagnaceae	Sphagnum	palustre	United States	New York	Hamilton Co.
plantae	marchantiophyta	frullaniaceae	Frullania	riparia	United States	Tennessee	Blount
animalia	annelida	nereididae	Ceratonereis	irritabilis	Mexico	Veracruz De Ignacio De La Llave	Tampico Alto
animalia	arthropoda	apidae	Trigona	fulviventris	Mexico	Yucatan	Tizimin
plantae	dicotyledon	myrtaceae	Eugenia	chrysantha	Brasil	Mato Grosso	São Felix Do Aragauia
plantae	charophyta	fabaceae	Genista	tinctoria	United States	Connecticut	Fairfield County
plantae	marchantiophyta	scapaniaceae	Scapania	curta	Sweden	Norrbotten	Övertorneå
plantae	marchantiophyta	frullaniaceae	Frullania	kunzei	United States	Georgia	Coffee Co.
animalia	chordata	plethodontidae	Desmognathus	imitator	United States	Tennessee	Cocke
animalia	brachiopoda	rugosochonetidae	Mesolobus	lioderma	United States	Kansas	Labette
fungi	zygomycota	legeriomycetaceae	Smittium	kansense	United States	Kansas	Anderson
plantae	marchantiophyta	scapaniaceae	Scapania	undulata	United States	Washington	Mason
plantae	tracheophyta	poaceae	Aristida	oligantha	United States	Indiana	Jennings
plantae	chlorophyta	cladophoraceae	Cladophora	rupestris	Sweden	Skåne	Stora Hammar
fungi	chytridiomycota	physodermataceae	Physoderma	menyanthis	United States	Colorado	Jackson
animalia	brachiopoda	spiriferidae	Spirifer	parryanus	United States	Iowa	Muscatine County
plantae	charophyta	poaceae	Elymus	canadensis	United States	Massachusetts	Hampden
animalia	brachiopoda	spiriferidae	Spirifer	radiatus	United States	Indiana	Shelby
animalia	chordata	cyprinidae	Notemigonus	crysoleucas	United States	Kansas	Lyon
plantae	tracheophyta	asteraceae	Silphium	compositum	United States	South Carolina	York
plantae	chlorophyta	cladophoraceae	Rhizoclonium	riparium	United States	Maine	Washington
plantae	tracheophyta	asteraceae	Smallanthus	uvedalia	Mexico	Veracruz	Córdoba Mun.
plantae	chlorophyta	cladophoraceae	Arnoldiella	crassa	United States	Michigan	Washtenaw
fungi	basidiomycota	polyporaceae	Pycnoporus	cinnabarinus	United States	Massachusetts	Norfolk
animalia	annelida	syllidae	Syllides	reishi	United States	California	Santa Barbara County
fungi	basidiomycota	polyporaceae	Polyporus	arcularius	United States	Florida	Highlands County
fungi	basidiomycota	polyporaceae	Trametes	cervina	United States	New York	St. Lawrence
fungi	ascomycota	cladoniaceae	Cladonia	squamosa	United States	New York	Jefferson Co.
plantae	charophyta	fabaceae	Cassia	nictitans	United States	New Hampshire	Cheshire
plantae	spermatophyta	fabaceae	Trifolium	arvense	United States	North Carolina	Person
animalia	chordata	cyprinidae	Pimephales	notatus	United States	Tennessee	Hardin
animalia	chordata	cricetidae	Microtus	pennsylvanicus	Canada	Ontario	Parry Sound
plantae	spermatophyta	fabaceae	Pediomelum	argophyllum	United States	Minnesota	Kittson
animalia	brachiopoda	spiriferidae	Spirifer	schmidti	Sweden	Gotland	Lau
plantae	tracheophyta	poaceae	Muhlenbergia	angustata	Peru	La Libertad	Santiago De Chuco
plantae	tracheophyta	asteraceae	Senecio	triangularis	United States	Washington	Kittitas Co.
plantae	chlorophyta	cladophoraceae	Cladophora	sericea	Sweden	Skåne	Helsingborg
animalia	chordata	plethodontidae	Plethodon	cinereus	United States	Maryland	Montgomery
animalia	mollusca	unionidae	Amblema	plicata	United States	Arkansas	Clay County
plantae	bryophyta	dicranaceae	Dicranella	subulata	United States	Maine	Oxford Co.
animalia	chordata	plethodontidae	Desmognathus	fuscus	United States	Kentucky	Lawrence
animalia	chordata	cyprinidae	Lythrurus	fumeus	United States	Texas	Harris
animalia	porifera	chalinidae	Haliclona	caerulea	Mexico	Nayarit	Bahia De Banderas
plantae	rhodophyta	rhodomelaceae	Odonthalia	corymbifera	United States	Washington	Island
plantae	bryophyta	dicranaceae	Dicranella	subulata	Sweden	Jämtland	Åre
fungi	basidiomycota	polyporaceae	Trametes	hirsuta	United States	Washington	King Co.
animalia	porifera	halichondriidae	Halichondria	magniconolosa	United States	California	Alameda County
plantae	tracheophyta	asteraceae	Symphyotrichum	subulatus	United States	Kansas	Barber
plantae	charophyta	poaceae	Bromus	tectorum	United States	Rhode Island	Bristol
plantae	spermatophyta	fabaceae	Lupinus	albifrons	United States	California	San Benito County
plantae	tracheophyta	fabaceae	Chamaecrista	fasciculata	United States	Missouri	Lafayette
animalia	echinodermata	holothuriidae	Actinopyga	varians	Mariana Islands	Commonwealth Of The Northern Mariana Islands	Saipan Island
fungi	chytridiomycota	physodermataceae	Physoderma	dulichii	United States	Michigan	Cheboygan Co.
plantae	rhodophyta	rhodomelaceae	Herposiphonia	obscura	United States	Hawaii	Honolulu
plantae	charophyta	poaceae	Panicum	agrostoides	United States	Massachusetts	Middlesex
plantae	tracheophyta	poaceae	Piptochaetium	avenaceum	United States	Maryland	Prince George'S
plantae	charophyta	characeae	Chara	globularis	Sweden	Ã–Stergã¶Tland	Vikingstad
plantae	tracheophyta	asteraceae	Anaphalis	margaritacea	United States	Idaho	Idaho
plantae	chlorophyta	cladophoraceae	Chaetomorpha	picquotiana	United States	New Hampshire	Rockingham
animalia	mollusca	muricidae	Pterorytis	conradi	United States	North Carolina	Columbus County
animalia	mollusca	unionidae	Potamilus	alatus	United States	Illinois	Lawrence
animalia	cnidaria	faviidae	Solenastrea	hyades	United States	Florida	Citrus County
plantae	chlorophyta	cladophoraceae	Chaetomorpha	picquotiana	United States	Massachusetts	Dukes
plantae	marchantiophyta	frullaniaceae	Frullania	asagrayana	United States	North Carolina	Stanly Co.
animalia	arthropoda	formicidae	Pheidole	gracilipes	Mozambique	Sofala	Gorongosa
animalia	arthropoda	formicidae	Crematogaster	minutissima	United States	Mississippi	Winston
fungi	basidiomycota	agaricaceae	Lycoperdon	pyriforme	United States	Iowa	Wayne
plantae	magnoliophyta	poaceae	Phleum	alpinum	United States	Nevada	Washoe
plantae	charophyta	poaceae	Phleum	pratense	United States	Maine	Washington
fungi	ascomycota	parmeliaceae	Parmotrema	crinitum	United States	North Carolina	Jackson Co.
plantae	spermatophyta	asteraceae	Ionactis	linariifolius	United States	South Carolina	Florence
fungi	ascomycota	physciaceae	Anaptychia	palmulata	United States	Georgia	Rabun
plantae	tracheophyta	poaceae	Hordeum	pusillum	United States	Virginia	Isle Of Wight
plantae	tracheophyta	fabaceae	Strophostyles	helvola	United States	New York	Suffolk County
plantae	bryophyta	sphagnaceae	Sphagnum	fuscum	Canada	Ontario	Leeds
plantae	charophyta	poaceae	Bromus	tectorum	United States	Connecticut	New London County
animalia	mollusca	unionidae	Alasmidonta	marginata	United States	Minnesota	Olmsted
fungi	basidiomycota	pucciniaceae	Puccinia	podophylli	United States	Ohio	Franklin
plantae	tracheophyta	fabaceae	Hosackia	rosea	United States	Oregon	Benton
plantae	charophyta	fabaceae	Lupinus	perennis	United States	Maine	Oxford
animalia	mollusca	muricidae	Boreotrophon	bentleyi	United States	California	San Diego Co.
plantae	magnoliophyta	poaceae	Tridens	muticus	United States	Texas	Uvalde
animalia	mollusca	muricidae	Ceratostoma	foliatum	United States	California	Del Norte Co.
plantae	spermatophyta	orchidaceae	Habenaria	ciliaris	United States	North Carolina	Macon County
plantae	spermatophyta	asteraceae	Madia	elegans	United States	California	Mendocino County
animalia	chordata	plethodontidae	Plethodon	glutinosus	United States	Alabama	Macon
animalia	arthropoda	carabidae	Cicindela	sexguttata	United States	Connecticut	Litchfield County
fungi	basidiomycota	agaricaceae	Cyathus	striatus	United States	Minnesota	Dakota
animalia	arthropoda	apidae	Bombus	huntii	United States	Washington	Whitman
animalia	cnidaria	acroporidae	Acropora	palmata	United States	North Carolina	Brunswick County
fungi	ascomycota	cladoniaceae	Cladonia	coniocraea	United States	New Hampshire	Grafton
plantae	spermatophyta	fabaceae	Lathyrus	pedunculatus	United States	Idaho	Kootenai County
plantae	dicotyledon	myrtaceae	Myrcia	bracteata	Brasil	Pará	Juruti
plantae	bryophyta	pottiaceae	Crumia	latifolia	United States	New Mexico	Grant
plantae	magnoliophyta	fabaceae	Senna	reticulata	Bolivia	El Beni	José Ballivián (Prov.)
fungi	ascomycota	parmeliaceae	Usnea	strigosa	United States	Louisiana	Washington
plantae	spermatophyta	fabaceae	Galactia	glabella	United States	South Carolina	Darlington
fungi	basidiomycota	agaricaceae	Calvatia	cyathiformis	United States	Pennsylvania	Allegheny Co.
animalia	cnidaria	faviidae	Caulastraea	matheroni	France	Aquitaine	Landes
animalia	arthropoda	carabidae	Dicaelus	teter	United States	Pennsylvania	Westmoreland
plantae	charophyta	characeae	Chara	aspera	Sweden	Blekinge	Tjurkã¶
fungi	ascomycota	parmeliaceae	Bryoria	nadvornikiana	Sweden	Värmland	Dalby
plantae	spermatophyta	asteraceae	Coreopsis	mutica	Mexico	Chiapas	Zinacantan Municipio
animalia	echinodermata	holothuriidae	Bohadschia	vitiensis	Mariana Islands	Guam	Guam Island
plantae	magnoliophyta	poaceae	Panicum	boscii	United States	Pennsylvania	Berks
fungi	chytridiomycota	physodermataceae	Physoderma	maydis	United States	Illinois	Piatt
animalia	mollusca	veneridae	Compsomyax	subdiaphana	United States	Washington	Kitsap County
plantae	tracheophyta	poaceae	Isachne	globosa	Sri Lanka	Western	Colombo
animalia	arthropoda	apidae	Peponapis	pruinosa	United States	Indiana	Tippecanoe
plantae	spermatophyta	asteraceae	Eurybia	spectabilis	United States	Massachusetts	Nantucket
plantae	bryophyta	pottiaceae	Leptodontium	viticulosoides	Mexico	Oaxaca	San Mateo Del Mar
fungi	ascomycota	parmeliaceae	Hypotrachyna	mcmulliniana	United States	Florida	Lafayette Co.
plantae	tracheophyta	poaceae	Briza	media	Norway	Innlandet	Østre Toten
fungi	basidiomycota	agaricaceae	Echinoderma	asperum	United States	North Carolina	Wake
plantae	chlorophyta	cladophoraceae	Cladophora	rupestris	Denmark	Samsø Area	Sa
fungi	ascomycota	parmeliaceae	Xanthoparmelia	mexicana	United States	South Dakota	Pennington
animalia	arthropoda	formicidae	Lasius	interjectus	United States	Illinois	Mcdonough
fungi	fungi	family unknown	Sterile	sorediate crust	United States	Tennessee	Carter Co.
animalia	chordata	cricetidae	Reithrodontomys	fulvescens	United States	Oklahoma	Comanche
fungi	ascomycota	physciaceae	Phaeophyscia	rubropulchra	United States	Wisconsin	Washburn
plantae	chlorophyta	caulerpaceae	Caulerpa	mexicana	United States	Florida	Franklin
fungi	zygomycota	rhizopodaceae	Syzygites	megalocarpus	United States	Michigan	Washtenaw
animalia	arthropoda	carabidae	Acupalpus	tener	United States	New Jersey	Middlesex County
plantae	bryophyta	sphagnaceae	Sphagnum	palustre	United States	Alabama	Cleburne County
animalia	arthropoda	carabidae	Anisodactylus	rusticus	United States	Colorado	Logan County
plantae	bryophyta	pottiaceae	Gymnostomum	aeruginosum	Norway	Vestland	Bømlo
plantae	spermatophyta	fabaceae	Trifolium	arvense	United States	North Carolina	Buncombe
plantae	charophyta	fabaceae	Trifolium	medium	United States	Maine	Kennebec
fungi	chytridiomycota	physodermataceae	Physoderma	menyanthis	United States	New Jersey	Warren Co.
plantae	charophyta	characeae	Chara	horrida	Sweden	Gotland	Othem
fungi	ascomycota	parmeliaceae	Usnea	subfloridana	Norway	Nord-Trøndelag	Grong
plantae	marchantiophyta	scapaniaceae	Scapania	bolanderi	United States	Washington	Snohomish
fungi	ascomycota	cladoniaceae	Cladonia	arbuscula	United States	Maine	Oxford
fungi	basidiomycota	agaricaceae	Tulostoma	berkeleyi	United States	Texas	Eastland
fungi	basidiomycota	polyporaceae	Poria	marginella	United States	Michigan	Keweenaw
plantae	spermatophyta	fabaceae	Trifolium	arvense	United States	Arkansas	Lee
fungi	cyanobacteria	scytonemataceae	Scytonema	hofmannii	Papua New Guinea	Morobe	Finschhafen
plantae	magnoliophyta	poaceae	Panicum	acuminatum	United States	Mississippi	Amite
fungi	zygomycota	legeriomycetaceae	Smittium	cellaspora	United States	Missouri	Polk County
animalia	cnidaria	faviidae	Placocoenia	lanquinei	France	Languedoc-Roussillon	Aude
animalia	arthropoda	formicidae	Pheidole	pilifera	United States	Arizona	Cochise
fungi	basidiomycota	pucciniaceae	Puccinia	punctata	Sweden	Uppland	Blidö
fungi	ascomycota	cladoniaceae	Cladonia	foliacea	Sweden	Öland	Torslunda
plantae	rhodophyta	corallinaceae	Lithophyllum	whidbeyense	United States	California	Humboldt
fungi	cyanobacteria	scytonemataceae	Scytonema	hofmannii	United States	Idaho	Clearwater
animalia	mollusca	veneridae	Chione	elevata	United States	Florida	Pinellas County
fungi	ascomycota	cladoniaceae	Cladonia	macilenta	Norway	Stfold	Aremark
animalia	annelida	nereididae	Neanthes	sp.	Brasil	Ceará	Caucaia
animalia	chordata	cyprinidae	Notropis	stramineus	United States	Ohio	Knox
plantae	charophyta	poaceae	Holcus	lanatus	United States	Rhode Island	Washington
animalia	mollusca	unionidae	Elliptio	dilatata	United States	Missouri	Crawford Co
plantae	spermatophyta	asteraceae	Mikania	scandens	United States	South Carolina	Bamberg
plantae	tracheophyta	asteraceae	Brickellia	californica	United States	New Mexico	Hidalgo County
plantae	tracheophyta	poaceae	Triticum	aestivum	United States	Pennsylvania	Bucks
fungi	ascomycota	physciaceae	Physconia	muscigena	United States	South Dakota	Custer
animalia	annelida	spionidae	Dipolydora	socialis	Mexico	Sonora	Guaymas
fungi	ascomycota	parmeliaceae	Punctelia	subrudecta	United States	Ohio	Wayne
fungi	ascomycota	cladoniaceae	Cladonia	uncialis	Finland	Nylandia	Helsinki
animalia	arthropoda	apidae	Centris	rhodopus	United States	Arizona	Mohave
plantae	spermatophyta	orchidaceae	Maxillaria	pardalina	Ecuador	Pichincha	Quito
animalia	chordata	cyprinidae	Pimephales	notatus	United States	Kentucky	Bell
plantae	spermatophyta	asteraceae	Kyhosia	bolanderi	United States	California	El Dorado County
plantae	dicotyledon	asteraceae	Mikania	cordifolia	Brasil	Pará	Oriximinã
fungi	basidiomycota	polyporaceae	Polyporus	brumalis	Sweden	Närke	Stora Mellösa
fungi	ascomycota	physciaceae	Phaeophyscia	hirsuta	United States	Kansas	Trego
plantae	chlorophyta	caulerpaceae	Caulerpa	microphysa	Philippines	Central Visayas	Negros Oriental
animalia	chordata	cricetidae	Peromyscus	eremicus	United States	California	Imperial Co
plantae	marchantiophyta	scapaniaceae	Lophozia	alpestris	Sweden	Halland	Breared
animalia	brachiopoda	rugosochonetidae	Chonetinella	gibberulus	United States	Nebraska	Cass County
fungi	ascomycota	physciaceae	Dimelaena	oreina	United States	North Carolina	Anson
fungi	chytridiomycota	synchytriaceae	Synchytrium	cerastii	United States	Mississippi	Alcorn Co.
plantae	magnoliophyta	asteraceae	Bahia	nudicaulis	United States	Colorado	Mesa Co.
animalia	arthropoda	apidae	Eucera	actuosa	United States	California	Lassen
plantae	dicotyledon	asteraceae	Vernonia	simplex	Brasil	Mato Grosso	Diamantino
animalia	arthropoda	apidae	Bombus	transversalis	Peru	Loreto	None
plantae	charophyta	poaceae	Cinna	latifolia	United States	New Hampshire	Coos
fungi	basidiomycota	polyporaceae	Polyporus	dictyopus	United States	New York	Essex
animalia	arthropoda	carabidae	Cylindera	lemniscata	United States	Arizona	Pima
plantae	rhodophyta	rhodomelaceae	Polysiphonia	stricta	Denmark	The Sound	Su
plantae	rhodophyta	rhodomelaceae	Laurencia	paniculata	United States	California	San Diego County
animalia	brachiopoda	spiriferidae	Neospirifer	cameratus	United States	Ohio	Muskingum County
animalia	porifera	microcionidae	Clathria	prolifera	United States	Connecticut	New London County
animalia	arthropoda	formicidae	Typhlomyrmex	rogenhoferi	Peru	Madre De Dios	Tambopata
plantae	magnoliophyta	fabaceae	Senna	armata	United States	California	San Bernardino
plantae	tracheophyta	fabaceae	Tephrosia	cinerea	Mexico	Campeche	Carmen
animalia	cnidaria	faviidae	Favites	abdita	Mariana Islands	Guam	Guam Island
plantae	rhodophyta	corallinaceae	Jania	subulata	United States	Texas	Cameron
animalia	chordata	cricetidae	Peromyscus	guatemalensis	Mexico	Chiapas	Union Juarez
plantae	charophyta	characeae	Nitella	opaca	Sweden	Skã¥Ne	Kristianstad
plantae	dicotyledon	asteraceae	Vernonia	scorpioides	Brasil	Pará	Quatipurú
plantae	dicotyledon	asteraceae	Mikania	parviflora	Brasil	Amazonas	Manaus
plantae	bryophyta	sphagnaceae	Sphagnum	quinquefarium	United States	Maine	Washington Co.
fungi	basidiomycota	polyporaceae	Neolentinus	lepideus	United States	Michigan	Cheboygan Co.
plantae	rhodophyta	ceramiaceae	Pterothamnion	pectinatum	United States	Washington	San Juan County
plantae	tracheophyta	poaceae	Muhlenbergia	californica	United States	California	Los Angeles Co.
plantae	marchantiophyta	scapaniaceae	Scapania	undulata	United States	Pennsylvania	Fayette
animalia	arthropoda	carabidae	Cicindela	formosa	United States	New Jersey	Ocean County
animalia	mollusca	muricidae	Murichorda	fiscellum	Vanuatu	Shefa	Efate
animalia	arthropoda	formicidae	Formica	good	United States	Colorado	Chaffee
plantae	bryophyta	dicranaceae	Paraleucobryum	longifolium	United States	New Mexico	Cibola
plantae	magnoliophyta	fabaceae	Melilotus	indica	United States	Arizona	Apache
fungi	basidiomycota	polyporaceae	Perenniporia	ellipsospora	United States	North Carolina	Graham
plantae	spermatophyta	orchidaceae	Maxillaria	arbuscula	Peru	Amazonas	Chachapoyas
plantae	spermatophyta	fabaceae	Galactia	glabella	United States	Florida	Hillsborough
plantae	bryophyta	pottiaceae	Syntrichia	fragilis	Bolivia	Santa Cruz	Vallegrande
animalia	arthropoda	formicidae	Camponotus	snellingi	United States	Louisiana	Bossier
fungi	chytridiomycota	physodermataceae	Physoderma	maydis	United States	Illinois	Wayne
animalia	arthropoda	carabidae	Bothriopterus	angusticollis	United States	Utah	[Not Stated]
