kingdom	phylum	family	genus	specificepithet	country	stateprovince	county	present	query	response	first token top strings	first token top scores	question number
fungi	ascomycota	parmeliaceae	Parmelina	pastillifera	Norway	Innlandet	Lom	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'Yes'	['Yes', 'No', '', '', '']	['32.708', '31.042', '-inf', '-inf', '-inf']	21
plantae	bryophyta	dicranaceae	Dicranella	crispa	United States	Ohio	Butler County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No.'	['No', 'Yes', '', '', '']	['35.417', '33.75', '-inf', '-inf', '-inf']	22
plantae	bryophyta	dicranaceae	Dicranella	crispa	United States	Ohio	Butler County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['No', '', '', '\x00', '']	['35.208', '-inf', '-inf', '-inf', '-inf']	23
plantae	bryophyta	dicranaceae	Dicranella	crispa	United States	Ohio	Butler County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No. Dicranella'	['No', 'Yes', '', '', '']	['33.542', '31.875', '-inf', '-inf', '-inf']	24
plantae	bryophyta	dicranaceae	Dicranella	crispa	United States	Ohio	Butler County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'Yes, Dicranella'	['No', 'Yes', '', '', '']	['32.5', '31.875', '-inf', '-inf', '-inf']	25
plantae	bryophyta	dicranaceae	Dicranella	crispa	United States	Ohio	Butler County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No.'	['No', '', '', '\x00', '']	['31.667', '-inf', '-inf', '-inf', '-inf']	26
plantae	bryophyta	dicranaceae	Dicranella	crispa	United States	Ohio	Butler County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['No', '', '', '\x00', '']	['34.792', '-inf', '-inf', '-inf', '-inf']	27
plantae	bryophyta	dicranaceae	Dicranella	crispa	United States	Ohio	Butler County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, Dicranella'	['No', '', '', '\x00', '']	['33.75', '-inf', '-inf', '-inf', '-inf']	28
fungi	basidiomycota	agaricaceae	Lepiota	cristata	United States	Florida	Seminole	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['No', 'Yes', '', '', '']	['35.625', '33.75', '-inf', '-inf', '-inf']	29
fungi	basidiomycota	agaricaceae	Lepiota	cristata	United States	Florida	Seminole	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['No', '', '', '\x00', '']	['35.833', '-inf', '-inf', '-inf', '-inf']	30
fungi	basidiomycota	agaricaceae	Lepiota	cristata	United States	Florida	Seminole	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No\n\nLep'	['No', 'Yes', '', '', '']	['33.75', '33.125', '-inf', '-inf', '-inf']	31
fungi	basidiomycota	agaricaceae	Lepiota	cristata	United States	Florida	Seminole	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, there is no'	['No', 'Yes', '', '', '']	['33.125', '31.875', '-inf', '-inf', '-inf']	32
fungi	basidiomycota	agaricaceae	Lepiota	cristata	United States	Florida	Seminole	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, Lepiota'	['No', 'Yes', '', '', '']	['31.667', '29.792', '-inf', '-inf', '-inf']	33
fungi	basidiomycota	agaricaceae	Lepiota	cristata	United States	Florida	Seminole	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No.\n\nL'	['No', '', '', '\x00', '']	['35.417', '-inf', '-inf', '-inf', '-inf']	34
fungi	basidiomycota	agaricaceae	Lepiota	cristata	United States	Florida	Seminole	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No.\n\nL'	['Yes', 'No', '', '', '']	['33.125', '32.917', '-inf', '-inf', '-inf']	35
fungi	ascomycota	cladoniaceae	Cladonia	squamosa	United States	Kentucky	Harlan Co.	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['No', '', '', '\x00', '']	['36.667', '-inf', '-inf', '-inf', '-inf']	36
fungi	ascomycota	cladoniaceae	Cladonia	squamosa	United States	Kentucky	Harlan Co.	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, Cladonia'	['No', '', '', '\x00', '']	['37.708', '-inf', '-inf', '-inf', '-inf']	37
fungi	ascomycota	cladoniaceae	Cladonia	squamosa	United States	Kentucky	Harlan Co.	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No. Cladonia'	['No', '', '', '\x00', '']	['36.042', '-inf', '-inf', '-inf', '-inf']	38
fungi	ascomycota	cladoniaceae	Cladonia	squamosa	United States	Kentucky	Harlan Co.	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, there is no'	['No', '', '', '\x00', '']	['35.833', '-inf', '-inf', '-inf', '-inf']	39
fungi	ascomycota	cladoniaceae	Cladonia	squamosa	United States	Kentucky	Harlan Co.	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, Cladonia'	['No', '', '', '\x00', '']	['33.958', '-inf', '-inf', '-inf', '-inf']	40
fungi	ascomycota	cladoniaceae	Cladonia	squamosa	United States	Kentucky	Harlan Co.	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, Cladonia'	['No', '', '', '\x00', '']	['36.667', '-inf', '-inf', '-inf', '-inf']	41
fungi	ascomycota	cladoniaceae	Cladonia	squamosa	United States	Kentucky	Harlan Co.	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No. Cladonia'	['No', '', '', '\x00', '']	['35', '-inf', '-inf', '-inf', '-inf']	42
plantae	charophyta	poaceae	Panicum	virgatum	United States	Massachusetts	Dukes	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['No', 'Yes', '', '', '']	['36.458', '34.583', '-inf', '-inf', '-inf']	43
plantae	charophyta	poaceae	Panicum	virgatum	United States	Massachusetts	Dukes	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, Panicum vir'	['No', '', '', '\x00', '']	['37.083', '-inf', '-inf', '-inf', '-inf']	44
plantae	charophyta	poaceae	Panicum	virgatum	United States	Massachusetts	Dukes	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, it is not'	['No', '', '', '\x00', '']	['35.625', '-inf', '-inf', '-inf', '-inf']	45
plantae	charophyta	poaceae	Panicum	virgatum	United States	Massachusetts	Dukes	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'Yes'	['Yes', 'No', '', '', '']	['34.583', '33.542', '-inf', '-inf', '-inf']	46
plantae	charophyta	poaceae	Panicum	virgatum	United States	Massachusetts	Dukes	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['Yes', 'No', '', '', '']	['32.083', '31.042', '-inf', '-inf', '-inf']	47
plantae	charophyta	poaceae	Panicum	virgatum	United States	Massachusetts	Dukes	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No.'	['Yes', 'No', '', '', '']	['34.583', '34.583', '-inf', '-inf', '-inf']	48
plantae	charophyta	poaceae	Panicum	virgatum	United States	Massachusetts	Dukes	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, Panicum vir'	['Yes', 'No', '', '', '']	['34.583', '34.375', '-inf', '-inf', '-inf']	49
animalia	cnidaria	acroporidae	Astreopora	mostarensis	France	Île-De-France	Yvelines	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['No', '', '', '\x00', '']	['32.917', '-inf', '-inf', '-inf', '-inf']	50
animalia	cnidaria	acroporidae	Astreopora	mostarensis	France	Île-De-France	Yvelines	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No.\n\nSpe'	['No', '', '', '\x00', '']	['33.75', '-inf', '-inf', '-inf', '-inf']	51
animalia	cnidaria	acroporidae	Astreopora	mostarensis	France	Île-De-France	Yvelines	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No.\n\nA'	['No', '', '', '\x00', '']	['34.375', '-inf', '-inf', '-inf', '-inf']	52
animalia	cnidaria	acroporidae	Astreopora	mostarensis	France	Île-De-France	Yvelines	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['No', '', '', '\x00', '']	['31.875', '-inf', '-inf', '-inf', '-inf']	53
animalia	cnidaria	acroporidae	Astreopora	mostarensis	France	Île-De-France	Yvelines	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['No', '', '', '\x00', '']	['32.5', '-inf', '-inf', '-inf', '-inf']	54
animalia	cnidaria	acroporidae	Astreopora	mostarensis	France	Île-De-France	Yvelines	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['No', '', '', '\x00', '']	['31.667', '-inf', '-inf', '-inf', '-inf']	55
animalia	cnidaria	acroporidae	Astreopora	mostarensis	France	Île-De-France	Yvelines	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No.\n\nA'	['No', '', '', '\x00', '']	['32.917', '-inf', '-inf', '-inf', '-inf']	56
animalia	chordata	cyprinidae	Hybopsis	amblops	United States	New York	Niagara	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['No', '', '', '\x00', '']	['38.125', '-inf', '-inf', '-inf', '-inf']	57
animalia	chordata	cyprinidae	Hybopsis	amblops	United States	New York	Niagara	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['No', '', '', '\x00', '']	['36.875', '-inf', '-inf', '-inf', '-inf']	58
animalia	chordata	cyprinidae	Hybopsis	amblops	United States	New York	Niagara	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, Hybopsis'	['No', '', '', '\x00', '']	['35.417', '-inf', '-inf', '-inf', '-inf']	59
animalia	chordata	cyprinidae	Hybopsis	amblops	United States	New York	Niagara	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No.\n\nAcc'	['No', 'Yes', '', '', '']	['34.583', '34.167', '-inf', '-inf', '-inf']	60
animalia	chordata	cyprinidae	Hybopsis	amblops	United States	New York	Niagara	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No\n\nHyb'	['No', '', '', '\x00', '']	['35', '-inf', '-inf', '-inf', '-inf']	61
animalia	chordata	cyprinidae	Hybopsis	amblops	United States	New York	Niagara	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['No', '', '', '\x00', '']	['36.25', '-inf', '-inf', '-inf', '-inf']	62
animalia	chordata	cyprinidae	Hybopsis	amblops	United States	New York	Niagara	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['No', '', '', '\x00', '']	['35.833', '-inf', '-inf', '-inf', '-inf']	63
plantae	spermatophyta	orchidaceae	Listera	smallii	United States	Florida	Lee County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No.'	['No', '', '', '\x00', '']	['37.708', '-inf', '-inf', '-inf', '-inf']	64
plantae	spermatophyta	orchidaceae	Listera	smallii	United States	Florida	Lee County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, Listera'	['No', '', '', '\x00', '']	['37.917', '-inf', '-inf', '-inf', '-inf']	65
plantae	spermatophyta	orchidaceae	Listera	smallii	United States	Florida	Lee County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, Listera'	['No', '', '', '\x00', '']	['36.667', '-inf', '-inf', '-inf', '-inf']	66
plantae	spermatophyta	orchidaceae	Listera	smallii	United States	Florida	Lee County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, there is no'	['No', '', '', '\x00', '']	['33.958', '-inf', '-inf', '-inf', '-inf']	67
plantae	spermatophyta	orchidaceae	Listera	smallii	United States	Florida	Lee County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No.\n\nAcc'	['No', '', '', '\x00', '']	['33.75', '-inf', '-inf', '-inf', '-inf']	68
plantae	spermatophyta	orchidaceae	Listera	smallii	United States	Florida	Lee County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['No', '', '', '\x00', '']	['36.667', '-inf', '-inf', '-inf', '-inf']	69
plantae	spermatophyta	orchidaceae	Listera	smallii	United States	Florida	Lee County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No. Listera'	['No', '', '', '\x00', '']	['36.875', '-inf', '-inf', '-inf', '-inf']	70
animalia	porifera	halichondriidae	Halichondria	bowerbanki	United States	Hawaii	French Frigate Shoals	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'Yes'	['Yes', '', '', '\x00', '']	['33.542', '-inf', '-inf', '-inf', '-inf']	71
animalia	porifera	halichondriidae	Halichondria	bowerbanki	United States	Hawaii	French Frigate Shoals	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['Yes', 'No', '', '', '']	['31.667', '31.25', '-inf', '-inf', '-inf']	72
animalia	porifera	halichondriidae	Halichondria	bowerbanki	United States	Hawaii	French Frigate Shoals	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'Yes.'	['Yes', 'No', '', '', '']	['32.292', '31.667', '-inf', '-inf', '-inf']	73
animalia	porifera	halichondriidae	Halichondria	bowerbanki	United States	Hawaii	French Frigate Shoals	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'Yes.\n\nH'	['Yes', '', '', '\x00', '']	['31.875', '-inf', '-inf', '-inf', '-inf']	74
animalia	porifera	halichondriidae	Halichondria	bowerbanki	United States	Hawaii	French Frigate Shoals	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'Yes'	['Yes', '', '', '\x00', '']	['27.917', '-inf', '-inf', '-inf', '-inf']	75
animalia	porifera	halichondriidae	Halichondria	bowerbanki	United States	Hawaii	French Frigate Shoals	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'Yes'	['Yes', 'No', '', '', '']	['30.625', '30', '-inf', '-inf', '-inf']	76
animalia	porifera	halichondriidae	Halichondria	bowerbanki	United States	Hawaii	French Frigate Shoals	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['No', 'Yes', '', '', '']	['31.25', '30.417', '-inf', '-inf', '-inf']	77
animalia	echinodermata	holothuriidae	Holothuria	rigida	United States	Massachusetts	Barnstable	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['No', '', '', '\x00', '']	['38.333', '-inf', '-inf', '-inf', '-inf']	78
animalia	echinodermata	holothuriidae	Holothuria	rigida	United States	Massachusetts	Barnstable	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, Holothuria'	['No', '', '', '\x00', '']	['37.917', '-inf', '-inf', '-inf', '-inf']	79
animalia	echinodermata	holothuriidae	Holothuria	rigida	United States	Massachusetts	Barnstable	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, Holothuria'	['No', '', '', '\x00', '']	['35.417', '-inf', '-inf', '-inf', '-inf']	80
animalia	echinodermata	holothuriidae	Holothuria	rigida	United States	Massachusetts	Barnstable	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, there is no'	['No', '', '', '\x00', '']	['35.833', '-inf', '-inf', '-inf', '-inf']	81
animalia	echinodermata	holothuriidae	Holothuria	rigida	United States	Massachusetts	Barnstable	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No.'	['No', '', '', '\x00', '']	['34.167', '-inf', '-inf', '-inf', '-inf']	82
animalia	echinodermata	holothuriidae	Holothuria	rigida	United States	Massachusetts	Barnstable	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No.\n\nHol'	['No', '', '', '\x00', '']	['37.292', '-inf', '-inf', '-inf', '-inf']	83
animalia	echinodermata	holothuriidae	Holothuria	rigida	United States	Massachusetts	Barnstable	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No. Holothuria'	['No', '', '', '\x00', '']	['36.25', '-inf', '-inf', '-inf', '-inf']	84
fungi	glomeromycota	gigasporaceae	Scutellospora	calospora	United States	Alabama	Washington	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No.\n\nSc'	['No', 'Yes', '', '', '']	['35.417', '33.75', '-inf', '-inf', '-inf']	85
fungi	glomeromycota	gigasporaceae	Scutellospora	calospora	United States	Alabama	Washington	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'Yes'	['No', 'Yes', '', '', '']	['35', '33.958', '-inf', '-inf', '-inf']	86
fungi	glomeromycota	gigasporaceae	Scutellospora	calospora	United States	Alabama	Washington	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No.\n\nSc'	['No', '', '', '\x00', '']	['35.208', '-inf', '-inf', '-inf', '-inf']	87
fungi	glomeromycota	gigasporaceae	Scutellospora	calospora	United States	Alabama	Washington	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'Yes, there are records'	['No', 'Yes', '', '', '']	['33.542', '32.917', '-inf', '-inf', '-inf']	88
fungi	glomeromycota	gigasporaceae	Scutellospora	calospora	United States	Alabama	Washington	No	'Is it possible to encounter species Tuckermanopsis chlorophylla in Fresnillo, Zacatecas, Mexico? Only respond yes or no.'	'No, Scutell'	['No', 'Yes', '', '', '']	['32.917', '30.833', '-inf', '-inf', '-inf']	89
fungi	glomeromycota	gigasporaceae	Scutellospora	calospora	United States	Alabama	Washington	No	'Is it possible to encounter species Tuckermanopsis chlorophylla in Fresnillo, Zacatecas, Mexico? Only respond yes or no.'	'No.\n\nSpe'	['No', '', '', '\x00', '']	['34.792', '-inf', '-inf', '-inf', '-inf']	90
fungi	glomeromycota	gigasporaceae	Scutellospora	calospora	United States	Alabama	Washington	No	'Is it possible to encounter species Tuckermanopsis chlorophylla in Fresnillo, Zacatecas, Mexico? Only respond yes or no.'	'No'	['No', '', '', '\x00', '']	['35.625', '-inf', '-inf', '-inf', '-inf']	91
animalia	echinodermata	amphiuridae	Microphiopholis	atra	United States	Virginia	Mathews County	Yes	'Is it possible to encounter species Tuckermanopsis chlorophylla in Fresnillo, Zacatecas, Mexico? Only respond yes or no.'	'No'	['No', '', '', '\x00', '']	['36.25', '-inf', '-inf', '-inf', '-inf']	92
animalia	echinodermata	amphiuridae	Microphiopholis	atra	United States	Virginia	Mathews County	Yes	'Is it possible to encounter species Tuckermanopsis chlorophylla in Fresnillo, Zacatecas, Mexico? Only respond yes or no.'	'No\n\nMicro'	['No', '', '', '\x00', '']	['35.833', '-inf', '-inf', '-inf', '-inf']	93
animalia	echinodermata	amphiuridae	Microphiopholis	atra	United States	Virginia	Mathews County	Yes	'Is it possible to encounter species Tuckermanopsis chlorophylla in Fresnillo, Zacatecas, Mexico? Only respond yes or no.'	'No.\nMicro'	['No', '', '', '\x00', '']	['35.417', '-inf', '-inf', '-inf', '-inf']	94
animalia	echinodermata	amphiuridae	Microphiopholis	atra	United States	Virginia	Mathews County	Yes	'Is it possible to encounter species Tuckermanopsis chlorophylla in Fresnillo, Zacatecas, Mexico? Only respond yes or no.'	'No, there is no'	['No', '', '', '\x00', '']	['34.167', '-inf', '-inf', '-inf', '-inf']	95
animalia	echinodermata	amphiuridae	Microphiopholis	atra	United States	Virginia	Mathews County	Yes	'Is it possible to encounter species Tuckermanopsis chlorophylla in Fresnillo, Zacatecas, Mexico? Only respond yes or no.'	'No\n\nMicro'	['No', '', '', '\x00', '']	['34.167', '-inf', '-inf', '-inf', '-inf']	96
animalia	echinodermata	amphiuridae	Microphiopholis	atra	United States	Virginia	Mathews County	Yes	'Is it possible to encounter species Tuckermanopsis chlorophylla in Fresnillo, Zacatecas, Mexico? Only respond yes or no.'	'No.\n\nM'	['No', '', '', '\x00', '']	['35.417', '-inf', '-inf', '-inf', '-inf']	97
animalia	echinodermata	amphiuridae	Microphiopholis	atra	United States	Virginia	Mathews County	Yes	'Is it possible to encounter species Tuckermanopsis chlorophylla in Fresnillo, Zacatecas, Mexico? Only respond yes or no.'	'No\n\nMicro'	['No', '', '', '\x00', '']	['35.417', '-inf', '-inf', '-inf', '-inf']	98
plantae	marchantiophyta	lejeuneaceae	Cheilolejeunea	conchifolia	United States	Georgia	Rabun	Yes	'Is it possible to encounter species Tuckermanopsis chlorophylla in Fresnillo, Zacatecas, Mexico? Only respond yes or no.'	'No, Cheilole'	['No', '', '', '\x00', '']	['35.833', '-inf', '-inf', '-inf', '-inf']	99
